r(B_06,5)	round(B_06_ERR,5)	round(V_06,5)	round(V_06_ERR,5)	round(R_06,5)	round(R_06_ERR,5)	round(F814W_06,5)	round(F814W_06_ERR,5)	round(Z_06,5)	round(Z_06_ERR,5)	round(Z_BEST,8)	CLASSIF	Z_USE
23.37890	0.03320	22.54650	0.01900	22.97750	0.02350	-999.98999	27.50000	25.53270	0.31310	-999.98999023	0	4.00000000
22.96620	0.02740	22.20170	0.01600	22.78200	0.02180	24.79070	0.68540	-999.98999	-999.98999	-999.98999023	0	4.00000000
22.77600	0.02540	21.97370	0.01450	22.80480	0.02230	25.45140	0.92480	25.26950	0.33050	-999.98999023	0	4.00000000
22.64750	0.02360	22.13120	0.01560	22.94840	0.02340	-999.98999	27.50000	25.15800	0.22620	-999.98999023	0	4.00000000
22.98610	0.02750	22.47330	0.01830	22.85760	0.02230	-999.98999	27.50000	-999.98999	-999.98999	-999.98999023	0	4.00000000
24.17920	0.05610	22.46320	0.01870	22.90060	0.02350	24.85420	0.69370	24.47740	0.15470	-999.98999023	0	4.00000000
23.34020	0.03290	22.38730	0.01780	22.77530	0.02160	24.84170	0.64220	24.55760	0.14990	-999.98999023	0	4.00000000
22.67310	0.02360	22.23260	0.01630	22.85170	0.02230	-999.98999	27.50000	24.98530	0.20530	-999.98999023	0	4.00000000
22.85900	0.02610	22.34210	0.01740	22.89380	0.02250	25.21990	0.84930	24.98130	0.18720	-999.98999023	0	4.00000000
22.75990	0.02450	22.37460	0.01740	22.90480	0.02250	-999.98999	27.50000	24.79450	0.14480	-999.98999023	0	4.00000000
22.73400	0.02430	22.12980	0.01570	22.72630	0.02080	24.70010	0.51650	24.71670	0.14450	-999.98999023	3	4.00000000
22.66620	0.02340	22.07510	0.01520	22.71200	0.02080	-999.98999	27.50000	25.16090	0.21290	-999.98999023	0	4.00000000
22.82160	0.02540	22.34060	0.01730	22.72640	0.02090	24.63530	0.60510	24.69120	0.15330	-999.98999023	0	4.00000000
22.64810	0.02330	22.22020	0.01630	22.65500	0.02020	25.09070	0.92380	24.97040	0.20790	-999.98999023	0	4.00000000
22.93720	0.02700	22.18810	0.01600	22.77990	0.02140	22.74370	0.12150	25.16630	0.24490	-999.98999023	0	4.00000000
22.92540	0.02680	22.04590	0.01490	22.79550	0.02160	-999.98999	27.50000	25.00790	0.21030	-999.98999023	0	4.00000000
22.77230	0.02540	21.92530	0.01410	22.74440	0.02160	24.83150	0.52130	24.84600	0.21660	-999.98999023	0	4.00000000
23.55320	0.03670	22.29910	0.01680	22.88850	0.02300	24.35580	0.43720	-999.98999	-999.98999	-999.98999023	0	4.00000000
22.83120	0.02570	22.18030	0.01590	22.88300	0.02270	24.84490	0.73440	24.78380	0.16460	-999.98999023	0	4.00000000
22.94420	0.02680	22.26240	0.01650	22.94840	0.02310	24.68920	0.45560	24.71570	0.14660	-999.98999023	3	4.00000000
-999.98999	-999.98999	24.86660	0.06550	-999.98999	-999.98999	-999.98999	27.50000	-999.98999	-999.98999	-999.98999023	0	4.00000000
22.91700	0.02650	22.46900	0.01820	22.95950	0.02340	-999.98999	27.50000	-999.98999	-999.98999	-999.98999023	0	4.00000000
-999.98999	-999.98999	25.50800	0.12000	-999.98999	-999.98999	25.73190	1.37700	25.71570	0.32580	-999.98999023	0	4.00000000
26.42860	0.22480	-999.98999	-999.98999	-999.98999	-999.98999	-999.98999	27.50000	25.67200	0.31150	-999.98999023	0	4.00000000
26.74570	0.34070	26.74790	0.33280	-999.98999	-999.98999	-999.98999	27.50000	26.25300	0.58610	-999.98999023	0	4.00000000
